species_Jan21	SGB_Jan21	GTDB_r207	GTDB_r220
Agathobaculum_butyriciproducens	SGB14993_group	s__Agathobaculum butyriciproducens	s__Agathobaculum butyriciproducens
Anaerobutyricum_hallii	SGB4532,SGB4537	s__Anaerobutyricum soehngenii,s__Anaerobutyricum hallii	s__Anaerobutyricum hallii,s__Anaerobutyricum soehngenii
Anaerostipes_hadrus	SGB4540_group	s__Anaerostipes hadrus	s__Anaerostipes hadrus
Anaerotignum_faecicola	SGB5190	s__Anaerotignum faecicola	s__Anaerotignum faecicola
Blautia_massiliensis	SGB4826_group	s__Blautia_A massiliensis	s__Blautia_A fusiformis
Blautia_wexlerae	SGB4837_group	s__Blautia_A wexlerae	s__Blautia_A wexlerae
Candidatus_Cibiobacter_qucibialis	SGB15286	s__Gemmiger qucibialis	s__Gemmiger qucibialis
Clostridiaceae_bacterium	SGB4269,SGB4629,SGB4721,SGB4770,SGB6152,SGB6153,SGB7256,SGB41644,SGB41675,SGB43075,SGB48054,SGB48794,SGB72210,SGB72211,SGB72209,SGB72208,SGB72212,SGB72666,SGB72696,SGB72214,SGB76476,SGB77440,SGB79709,SGB82499	s__GCA-900066755 sp902363085,s__Lacrimispora sp902363735,s__Clostridium_J sp902363375,s__Beduini sp902363625,s__Fimenecus sp904501895,s__UBA5905 sp904501705,s__RUG420 sp904502175,s__DTU089 sp904501675,s__SIG607 sp904501755,s__SIG607 sp015065605,s__UMGS172 sp904501685,s__UBA737 sp904502215,s__Clostridium_B sp902809985,s__,s__QXXE01 sp009911355,s__Ventrimonas sp009911065,s__Clostridium_Q sp009911305,s__GCA-900066755 sp900066755,s__GCA-900066495 sp902362365,s__GCA-900066495 sp900066495,s__Merdisoma sp900066385,s__Copromonas sp000435795,s__Lachnoclostridium_B sp900066765,s__CAG-41 sp900066215	s__Diplocloster modestus,s__Lacrimispora sp902363735,s__Clostridium_J sp902363375,s__Beduini sp902363625,s__Fimenecus sp904501895,s__UBA5905 sp904501705,s__RUG420 sp904502175,s__DTU089 sp904501675,s__SIG607 sp904501755,s__SIG607 sp015065605, s__UMGS172 sp904501685,s__UBA737 sp904502215,s__Clostridium_B aromativorans,s__QXXE01 sp009911355,s__Brotaphodocola sp009911065,s__Otoolea sp009911305,s__Diplocloster agilis,s__Romboutsia_E sp902362365,s__Romboutsia_E sp900066495,s__Laedolimicola ammoniilytica,s__Alitiscatomonas aceti,s__Lachnoclostridium_B acetigenes,s__Hominilimicola fabiformis
Clostridiaceae_bacterium_OM08_6BH	SGB4768	s__Choladocola sp003481535	s__Hominiventricola filiformis
Clostridiaceae_unclassified_SGB4769	SGB4769	s__Choladocola sp018223365	s__Hominiventricola sp018223365
Clostridiales_bacterium_KLE1615	SGB5090_group	s__KLE1615 sp900066985	s__Anthropogastromicrobium aceti
Clostridiales_unclassified_SGB15145	SGB15145	s__Lawsonibacter sp900549405	s__Lawsonibacter sp900549405
Clostridium_fessum	SGB4705	s__Clostridium_Q fessum	s__Otoolea fessa
Clostridium_sp_AF34_10BH	SGB4914	s__Acetatifactor sp900066565	s__Acetatifactor acetigignens
Clostridium_sp_AM22_11AC	SGB4749	s__Enterocloster sp000431375	s__Enterocloster sp000431375
Clostridium_sp_AM33_3	SGB4711	s__Ventrimonas sp003480315	s__Brotaphodocola sp003480315
Clostridium_sp_AM49_4BH	SGB4652	s__Butyribacter sp003529475	s__Butyribacter sp003529475
